token,count,rank
anders,33,653
seid,33,654
allerdings,33,655
Landes,33,656
Abend,33,657
Interesse,33,658
gewinnen,33,659
Ihnen,33,660
halt,33,661
Dem,33,662
Kollege,33,663
sonst,33,664
denken,33,665
niemand,33,666
Linke,33,667
Willkommen,32,668
Euro,32,669
Platz,32,670
aendern,32,671
CO2,32,672
schaffen,32,673
findet,32,674
Heimat,32,675
tolle,32,676
jeden,32,677
Ideen,32,678
Deine,32,679
Ihre,32,680
je,32,681
Mehrheit,32,682
Partner,32,683
An,32,684
War,32,685
Stimmen,32,686
Regeln,31,687
bald,31,688
nutzen,31,689
handeln,31,690
Angela,31,691
Vorbild,31,692
Punkt,31,693
faellt,31,694
dringend,31,695
seeon19,31,696
Parteitag,31,697
Gottes,31,698
Segen,31,699
wuerden,31,700
solche,31,701
hast,31,702
aktuellen,30,703
9,30,704
z,30,705
Laender,30,706
sofort,30,707
on,30,708
Gesetz,30,709
heutigen,30,710
Ministerpraesidenten,30,711
Super,30,712
Familie,30,713
Vorsitzenden,30,714
Schulen,30,715
China,30,716
Haus,30,717
loesen,30,718
absolut,30,719
Dieser,30,720
bewusst,30,721
passt,30,722
Macht,29,723
gehoeren,29,724
Markus,29,725
Nachrichten,29,726
Rahmen,29,727
Berliner,29,728
Mrd,29,729
Kraft,29,730
Wahlen,29,731
naechste,29,732
Wort,29,733
Aktion,29,734
welche,29,735
Organspende,29,736
gestellt,29,737
Sinne,29,738
konnte,29,739
weder,29,740
wichtigen,29,741
jemand,29,742
verstehen,29,743
hatte,29,744
schreiben,29,745
anderes,29,746
ehrlich,29,747
keiner,29,748
Dienst,29,749
Uebrigens,29,750
Sorry,29,751
Antifa,29,752
offensichtlich,28,753
Einigung,28,754
Bundestages,28,755
setzt,28,756
beste,28,757
GroKo,28,758
Bereich,28,759
diskutieren,28,760
beschlossen,28,761
nimmt,28,762
Plenum,28,763
Seit,28,764
Rolle,28,765
Staerke,28,766
Wichtig,28,767
daher,28,768
Erhoehung,28,769
Kindern,28,770
Mittel,28,771
ebenso,28,772
Gedanken,28,773
etc,28,774
politisch,28,775
Sicht,28,776
offen,28,777
drei,28,778
weit,28,779
Ordnung,28,780
Drohnen,28,781
Kritik,27,782
Beim,27,783
Soeder,27,784
2021,27,785
Ueber,27,786
unterstuetzt,27,787
Forderung,27,788
Initiative,27,789
Klausurtagung,27,790
vorbei,27,791
70,27,792
letzte,27,793
Schoen,27,794
COVID19,27,795
Deswegen,27,796
Deutschlands,27,797
Weihnachten,27,798
Deutsche,27,799
Mut,27,800
spricht,27,801
Eltern,27,802
Jeder,27,803
Beispiel,27,804
Medien,27,805
Sprache,27,806
ihrem,27,807
dran,27,808
verloren,27,809
ueberhaupt,27,810
Probleme,27,811
Schade,27,812
Amt,27,813
mag,27,814
schauen,27,815
verstanden,27,816
bekaempfen,27,817
starken,27,818
Besserung,27,819
Aussage,27,820
Zusammenhalt,27,821
schafft,26,822
halte,26,823
unterwegs,26,824
40,26,825
Klimawandel,26,826
Politiker,26,827
gleichzeitig,26,828
Seeon,26,829
Start,26,830
wirkt,26,831
Zahlen,26,832
Millionen,26,833
Finde,26,834
tut,26,835
euch,26,836
echt,26,837
Handeln,26,838
Schon,26,839
entschieden,26,840
Happy,26,841
Hat,26,842
erfolgreich,26,843
Leute,26,844
Kein,26,845
dagegen,26,846
Frankreich,26,847
SED,26,848
Praesident,26,849
via,25,850
Gast,25,851
Umwelt,25,852
EEG,25,853
raus,25,854
jedem,25,855
Guten,25,856
Herzen,25,857
beide,25,858
12,25,859
sowohl,25,860
Mir,25,861
15,25,862
Migration,25,863
Kampagne,25,864
Dankeschoen,25,865
Oh,25,866
liegen,25,867
Kann,25,868
super,25,869
Laendern,25,870
Aufklaerung,25,871
Einheit,25,872
Anlass,25,873
it,25,874
Stunden,25,875
bayerischen,25,876
Glueck,25,877
Tagen,25,878
Ostern,25,879
zumindest,25,880
Vorsitzende,25,881
Beziehungen,25,882
gross,24,883
dies,24,884
bundestag,24,885
bringt,24,886
Programm,24,887
sozialen,24,888
e,24,889
Video,24,890
Gemeinsam,24,891
gefragt,24,892
Um,24,893
hab,24,894
Europas,24,895
voran,24,896
Starke,24,897
direkt,24,898
Monaten,24,899
Zahl,24,900
startet,24,901
ganzen,24,902
hatten,24,903
Vorschlaege,24,904
Europaeischen,24,905
waehlen,24,906
Bedeutung,24,907
Zustimmung,24,908
Koalitionsverhandlungen,24,909
Gerne,24,910
waehrend,24,911
verhindern,24,912
Immer,24,913
this,24,914
weg,24,915
Praevention,24,916
erklaert,24,917
erklaeren,24,918
tatsaechlich,24,919
demokratischen,24,920
haelt,24,921
Noe,24,922
Moment,24,923
Naja,24,924
Trump,24,925
Rechtsstaatlichkeit,24,926
Doch,24,927
dennoch,24,928
Kompromiss,23,929
Statement,23,930
Gespraech,23,931
moeglichst,23,932
erreicht,23,933
digitalen,23,934
Urteil,23,935
schneller,23,936
Schweinfurt,23,937
dadurch,23,938
Gesundheit,23,939
derzeit,23,940
Einladung,23,941
Freude,23,942
starten,23,943
kaempfen,23,944
schwer,23,945
Bis,23,946
Trotzdem,23,947
stolz,23,948
Umsetzung,23,949
Grundgesetz,23,950
Mueller,23,951
hoffe,23,952
Nichts,23,953
drauf,23,954
Mensch,23,955
Fehler,23,956
Volle,23,957
neu,23,958
Schule,23,959
klaren,23,960
kuenftig,23,961
worden,23,962
Oesterreich,23,963
voellig,23,964
Sachen,23,965
Grosse,23,966
paar,23,967
seinem,23,968
75,23,969
18,22,970
13,22,971
ganze,22,972
Mail,22,973
gestalten,22,974
11,22,975
linke,22,976
live,22,977
genug,22,978
neues,22,979
Guter,22,980
umgesetzt,22,981
trotz,22,982
neben,22,983
Angehoerigen,22,984
Thueringen,22,985
beiden,22,986
entscheiden,22,987
eigene,22,988
hin,22,989
Neues,22,990
Leider,22,991
Good,22,992
bereit,22,993
Sonntag,22,994
Seiten,22,995
Birthday,22,996
Coronakrise,22,997
bzgl,22,998
Minister,22,999
D,22,1000
Herkunftsstaaten,22,1001
Ergebnisse,22,1002
vier,22,1003
jazubayern,22,1004
waeren,22,1005
Verpflichtung,22,1006
stets,22,1007
Erinnerung,22,1008
Truppe,22,1009
Freundschaft,22,1010
Ausbildung,21,1011
lohnt,21,1012
Kommission,21,1013
Mobilitaet,21,1014
Viele,21,1015
insgesamt,21,1016
steigen,21,1017
Klimapolitik,21,1018
2018,21,1019
Freund,21,1020
Entlastung,21,1021
neuer,21,1022
Gespraeche,21,1023
Dr,21,1024
Antworten,21,1025
Botschaft,21,1026
uebernehmen,21,1027
UN,21,1028
bayerische,21,1029
Wahlkampf,21,1030
Bevoelkerung,21,1031
ihnen,21,1032
Impfen,21,1033
egal,21,1034
Entscheidungen,21,1035
sag,21,1036
manchmal,21,1037
